length,sp_code,genus,species,log_length,body_mass_predicted
63,2940,Ptychocheilus,oregonensis,1.799340549,3.344446349
12,2943,Rhinichthys,atratulus,1.079181246,1.477229916
22,2944,Rhinichthys,cataractae,1.342422681,2.183450377
12,2946,Rhinichthys,falcatus,1.079181246,1.509246794
11,2947,Rhinichthys,osculus,1.041392685,1.428014937
11,2948,Rhodeus,sericeus,1.041392685,1.613886532
18,2949,Richardsonius,balteatus,1.255272505,2.046747388
30,2952,Semotilus,atromaculatus,1.477121255,2.590263947
51,2953,Semotilus,corporalis,1.707570176,3.126875322
64,2957,Carpiodes,carpio,1.806179974,3.489610022
64,2962,Catostomus,catostomus,1.806179974,3.33170586
30,2964,Catostomus,columbianus,1.477121255,2.497455982
65,2965,Catostomus,commersonii,1.812913357,3.40931542
61,2972,Catostomus,macrocheilus,1.785329835,3.315520777
25,2975,Catostomus,platyrhynchus,1.397940009,2.287961904
38,2986,Erimyzon,oblongus,1.579783597,2.856377819
41,2987,Erimyzon,sucetta,1.612783857,3.002668342
61,2990,Hypentelium,nigricans,1.785329835,3.304078203
112,2992,Ictiobus,bubalus,2.049218023,4.154657644
123,2993,Ictiobus,cyprinellus,2.089905111,4.210897102
123,2994,Ictiobus,niger,2.089905111,4.227844241
50,2996,Minytrema,melanops,1.698970004,3.111863705
74,2997,Moxostoma,anisurum,1.86923172,3.630207162
77,3000,Moxostoma,carinatum,1.886490725,3.681242517
51,3003,Moxostoma,duquesnii,1.707570176,3.156969722
78,3004,Moxostoma,erythrurum,1.892094603,3.622402006
72,3006,Moxostoma,hubbsi,1.857332496,3.671219599
75,3008,Moxostoma,macrolepidotum,1.875061263,3.585021437
18,3011,Thoburnia,rhothoeca,1.255272505,1.937557027
80,3014,Moxostoma,valenciennesi,1.903089987,3.660983182
28,3016,Misgurnus,anguillicaudatus,1.447158031,2.318388945
95,3018,Ameiurus,catus,1.977723605,3.818427341
165,3019,Ictalurus,furcatus,2.217483944,4.414635193
47,3021,Ameiurus,natalis,1.672097858,2.982422254
55,3022,Ameiurus,nebulosus,1.740362689,3.252148468
31,3033,Noturus,flavus,1.491361694,2.525675308
13,3037,Noturus,gyrinus,1.113943352,1.589686017
15,3039,Noturus,insignis,1.176091259,1.679597363
13,3042,Noturus,miurus,1.113943352,1.584379063
13,3048,Noturus,stigmosus,1.113943352,1.573530082
155,3051,Pylodictis,olivaris,2.190331698,4.304608558
47,3054,Clarias,batrachus,1.672097858,2.997542602
50,3057,Hypostomus,plecostomus,1.698970004,3.102219928
7,3061,Chologaster,cornuta,0.84509804,0.931408879
9,3063,Typhlichthys,subterraneus,0.954242509,1.128411333
14,3064,Aphredoderus,sayanus,1.146128036,1.81762358
20,3065,Percopsis,omiscomaycus,1.301029996,2.080415517
18,3191,Fundulus,grandis,1.255272505,2.048825039
8,3197,Fundulus,notatus,0.903089987,1.133337651
6,3209,Jordanella,floridae,0.77815125,0.987084095
8,3213,Kryptolebias,marmoratus,0.903089987,1.105250695
7,3215,Gambusia,affinis,0.84509804,0.939361582
4,3224,Heterandria,formosa,0.602059991,0.393877228
15,3226,Poecilia,latipinna,1.176091259,1.882366735
11,3227,Poecilia,mexicana,1.041392685,1.577889631
6,3228,Poecilia,reticulata,0.77815125,0.807708038
16,3231,Xiphophorus,hellerii,1.204119983,1.988354745
6,3232,Xiphophorus,maculatus,0.77815125,0.985715515
13,3238,Labidesthes,sicculus,1.113943352,1.463172669
6,3269,Apeltes,quadracus,0.77815125,0.736993407
9,3271,Culaea,inconstans,0.954242509,1.261107393
9,3273,Pungitius,pungitius,0.954242509,1.172922855
45,3308,Morone,chrysops,1.653212514,3.160979758
43,3361,Ambloplites,rupestris,1.633468456,3.154466343
29,3363,Centrarchus,macropterus,1.462397998,2.793226167
3,3364,Elassoma,evergladei,0.477121255,0.107183984
10,3368,Enneacanthus,gloriosus,1,1.58896314
10,3369,Enneacanthus,obesus,1,1.574784032
30,3370,Lepomis,auritus,1.477121255,2.821421356
31,3371,Lepomis,cyanellus,1.491361694,2.814081591
40,3372,Lepomis,gibbosus,1.602059991,3.147733393
31,3373,Lepomis,gulosus,1.491361694,2.820824376
15,3374,Lepomis,humilis,1.176091259,2.028957247
41,3375,Lepomis,macrochirus,1.612783857,3.211029305
24,3377,Lepomis,megalotis,1.380211242,2.591130318
69,3382,Micropterus,dolomieu,1.838849091,3.583431416
40,3383,Micropterus,notius,1.602059991,3.022270075
64,3384,Micropterus,punctulatus,1.806179974,3.488757527
97,3385,Micropterus,salmoides,1.986771734,4.011056505
53,3387,Pomoxis,annularis,1.72427587,3.371110609
49,3388,Pomoxis,nigromaculatus,1.69019608,3.349392395
8,3394,Ammocrypta,pellucida,0.903089987,0.846803412
17,3402,Etheostoma,blennioides,1.230448921,1.816329676
8,3405,Etheostoma,caeruleum,0.903089987,1.131271728
7,3420,Etheostoma,exile,0.84509804,0.875043946
8,3421,Etheostoma,flabellare,0.903089987,1.094790562
4,3441,Etheostoma,microperca,0.602059991,0.244585078
7,3445,Etheostoma,nigrum,0.84509804,0.907797977
11,3450,Etheostoma,olmstedi,1.041392685,1.40794245
7,3468,Etheostoma,spectabile,0.84509804,0.980975806
18,3489,Percina,caprodes,1.255272505,1.883958952
7,3490,Percina,copelandi,0.84509804,0.832622134
11,3498,Percina,maculata,1.041392685,1.352720381
8,3501,Percina,notogramma,0.903089987,1.06425461
13,3510,Percina,sciera,1.113943352,1.560544038
8,3511,Percina,shumardi,0.903089987,1.055639094
76,3515,Sander,canadensis,1.880813592,3.536051687
107,3516,Sander,vitreus,2.029383778,3.943836714
40,3576,Lagodon,rhomboides,1.602059991,3.099697223
95,3577,Aplodinotus,grunniens,1.977723605,3.987083381
46,3612,Astronotus,ocellatus,1.662757832,3.313852168
30,3613,Cichlasoma,bimaculatum,1.477121255,2.797456694
30,3614,Herichthys,cyanoguttatus,1.477121255,2.858843218
8.29,3615,Amatitlania,nigrofasciatus,0.918554531,1.395950173
25,3616,Rocio,octofasciata,1.397940009,2.569044798
20,3617,Heros,severus,1.301029996,2.42298136
41,3826,Dormitator,latifrons,1.612783857,2.980706762
44,3828,Eleotris,picta,1.643452676,2.883322387
25,3829,Eleotris,pisonis,1.397940009,2.377024356
30,3832,Acanthogobius,flavimanus,1.477121255,2.457985321
8,3858,Ctenogobius,boleosoma,0.903089987,1.026716527
17,4061,Cottus,aleuticus,1.230448921,1.823145753
30,4062,Cottus,asper,1.477121255,2.53572243
15,4065,Cottus,bairdii,1.176091259,1.767272356
12,4068,Cottus,cognatus,1.079181246,1.491164237
15,4069,Cottus,confusus,1.176091259,1.705006335
16,4082,Cottus,rhotheus,1.204119983,1.848527301
13,4083,Cottus,ricei,1.113943352,1.525962024
60,4122,Myoxocephalus,quadricornis,1.77815125,3.282808953
23,4124,Myoxocephalus,thompsonii,1.361727836,2.15123259
80,4310,Plagioscion,squamosissimus,1.903089987,3.763048642
3,4321,Indostomus,paradoxus,0.477121255,-0.293857616
60,4342,Gadopsis,marmoratus,1.77815125,3.309538863
15,4434,Cheimarrichthys,fosteri,1.176091259,1.734193992
63,4436,Kurtus,gulliveri,1.799340549,3.563355661
182,4439,Catla,catla,2.260071388,4.733481309
28,4451,Leiognathus,equulus,1.447158031,2.793987372
36,4458,Terapon,jarbua,1.556302501,2.910741143
35,4463,Gerres,filamentosus,1.544068044,2.977177541
36,4471,Blicca,bjoerkna,1.556302501,2.954346054
120,4472,Barbus,barbus,2.079181246,4.129246323
18,4473,Puntius,filamentosus,1.255272505,2.171497926
25,4474,Gymnocephalus,cernua,1.397940009,2.389029602
15,4475,Astyanax,bimaculatus,1.176091259,2.009753958
30,4477,Parachondrostoma,toxostoma,1.477121255,2.54088393
20,4478,Gobio,gobio,1.301029996,2.064042847
105,4479,Hydrocynus,vittatus,2.021189299,3.973623327
85,4482,Squalius,cephalus,1.929418926,3.784241486
10,4483,Rhodeus,amarus,1,1.540648302
100,4494,Cirrhinus,cirrhosus,2,3.903992733
78,4496,Hydrocynus,forskahlii,1.892094603,3.656760095
200,4497,Lates,angustifrons,2.301029996,4.766276489
45,4498,Lates,stappersii,1.653212514,2.958793916
33,4501,Pygocentrus,nattereri,1.51851394,2.966831912
12,4507,Maylandia,xanstomachus,1.079181246,1.73413442
700,4513,Psephurus,gladius,2.84509804,5.77426565
7,4517,Haplochromis,nigripinnis,0.84509804,1.095359754
